Experiment_ID,Compound_Name,Reaction_Type,Temperature_C,Pressure_atm,Catalyst_Used,Processing_Delay_min,Yield_Percentage
85,Aniline,Roasting,142,129,None,1022,37.5
86,Helium,Cracking,717,102,Base,685,78.4
87,Fluorine,Alkylation,829,56,Ni,757,76.9
88,Magnesium_Oxide,Hydrogenation,164,73,None,649,48.7
89,Xenon,Elimination,767,104,Enzyme,1827,80.3
90,Chlorine,Halogenation,315,192,Ag,1640,65.8
91,Sulfur_Dioxide,Precipitation,813,168,V2O5,1915,92.5
92,Bromine,Pyrolysis,782,115,Ni,946,82.2
93,Titanium_Dioxide,Reforming,799,13,Ag,1032,91.1
94,Xylene,Reforming,242,32,Au,1229,39.9
95,Gold_Chloride,Hydrolysis,201,181,Fe,1218,59.6
96,Fluorine,Precipitation,93,47,AlCl3,1630,25.4
97,Nylon,Halogenation,720,158,Base,1927,49.6
98,Formaldehyde,Precipitation,821,138,Zeolite,1799,87.3
99,Potassium_Nitrate,Isomerization,353,92,None,1748,93.9
100,Nickel_Sulfate,Complexation,440,67,Ni,154,42.3
